Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,470,AVTNPL,EQ,11726,6054,51.63
20,471,AWFIS,EQ,143852,68489,47.61
20,472,AWHCL,EQ,76393,31276,40.94
20,473,AWL,EQ,1980401,932204,47.07
20,474,AXISBANK,EQ,11192836,6894193,61.59
20,475,AXISCADES,EQ,102989,56530,54.89
20,476,AXITA,EQ,339242,156194,46.04
20,477,AYE,EQ,488228,222945,45.66
20,478,AYMSYNTEX,EQ,34732,18886,54.38
20,479,AZAD,EQ,268445,115910,43.18
20,480,BABAFP,SM,1600,1600,100.00
20,481,BAGDIGITAL,SM,145600,105600,72.53
20,482,BAGFILMS,EQ,32874,24030,73.10
20,483,BAGMANE,RR,3312952,2838968,85.69
20,484,BAHETI,SM,27750,19500,70.27
20,485,BAIDFIN,EQ,27203,22670,83.34
20,486,BAJAJ-AUTO,EQ,426656,261772,61.35
20,487,BAJAJCON,EQ,1164232,506730,43.52
20,488,BAJAJELEC,EQ,62013,28489,45.94
20,489,BAJAJFINSV,EQ,705632,355627,50.40
20,490,BAJAJHCARE,EQ,297322,110990,37.33
20,491,BAJAJHFL,EQ,2094708,1173169,56.01
20,492,BAJAJHIND,EQ,6419113,2186813,34.07
20,493,BAJAJHLDNG,EQ,68257,41453,60.73
20,494,BAJAJINDEF,EQ,17001,11982,70.48
20,495,BAJAJST,EQ,4235,2564,60.54
20,496,BAJEL,EQ,150112,84035,55.98
20,497,BAJFINANCE,EQ,12882360,9101992,70.65
20,498,BALAJEE,EQ,98896,95336,96.40
20,499,BALAJIPHOS,SM,202000,201000,99.50
20,500,BALAJITELE,EQ,155593,90678,58.28
20,501,BALAMINES,EQ,127828,50825,39.76
20,502,BALCO,ST,1200,1200,100.00
20,503,BALKRISHNA,EQ,7554,6148,81.39
20,504,BALKRISIND,EQ,314551,214604,68.23
20,505,BALMLAWRIE,EQ,100007,58698,58.69
20,506,BALPHARMA,EQ,15050,11456,76.12
20,507,BALRAMCHIN,EQ,1140005,293811,25.77
20,508,BALUFORGE,EQ,337867,157132,46.51
20,509,BANARBEADS,EQ,5040,2681,53.19
20,510,BANARISUG,EQ,252,200,79.37
20,511,BANCOINDIA,EQ,93591,44278,47.31
20,512,BANDHANBNK,EQ,6777972,3004526,44.33
20,513,BANG,EQ,11723,9502,81.05
20,514,BANK10ADD,EQ,64273,47770,74.32
20,515,BANKADD,EQ,41344,35186,85.11
20,516,BANKBARODA,EQ,6785854,3407678,50.22
20,517,BANKBEES,EQ,969539,703668,72.58
20,518,BANKBETA,EQ,107819,100377,93.10
20,519,BANKBETF,EQ,12348,11152,90.31
20,520,BANKETF,EQ,16372,10520,64.26
20,521,BANKIETF,EQ,457280,330490,72.27
20,522,BANKINDIA,EQ,4520145,1826790,40.41
20,523,BANKNIFTY1,EQ,470986,364295,77.35
20,524,BANKPSU,EQ,9340,4882,52.27
20,525,BANSALWIRE,EQ,148135,72911,49.22
20,526,BANSWRAS,EQ,60762,24469,40.27
20,527,BARFLEX,SM,8000,8000,100.00
20,528,BASF,EQ,13458,6150,45.70
20,529,BASILIC,SM,2700,1800,66.67
20,530,BATAINDIA,EQ,812596,204928,25.22
20,531,BATLIBOI,EQ,13609,9594,70.50
20,532,BAYERCROP,EQ,32404,22535,69.54
20,533,BBETF0432,EQ,557,384,68.94
20,534,BBL,EQ,16799,9519,56.66
20,535,BBNPNBETF,EQ,272,168,61.76
20,536,BBNPPGOLD,EQ,9274,4177,45.04
20,537,BBOX,EQ,268870,136113,50.62
20,538,BBTC,EQ,17526,8072,46.06
20,539,BBTCL,EQ,211,182,86.26
20,540,BCG,EQ,3204392,1519245,47.41
20,541,BCLIND,EQ,791067,264670,33.46
20,542,BCONCEPTS,EQ,6252,4699,75.16
